Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,League
vs Almere City,33,25.1,57.1,34,374.0,3060,34.0,60.0,48.0,108.0,60.0,0.0,0.0,38.0,4.0,52.3,52.3,45.2,97.5,675.0,1507.0,1.76,1.41,3.18,1.76,3.18,1.54,1.33,2.87,1.54,2.87,Eredivisie 2024-2025
vs AZ Alkmaar,30,25.6,47.3,34,374.0,3060,34.0,35.0,27.0,62.0,34.0,1.0,3.0,79.0,6.0,34.2,31.8,23.0,54.8,514.0,1159.0,1.03,0.79,1.82,1.0,1.79,1.01,0.68,1.68,0.94,1.61,Eredivisie 2024-2025
vs Feyenoord,40,25.2,42.7,34,374.0,3060,34.0,38.0,28.0,66.0,36.0,2.0,3.0,58.0,2.0,35.2,32.8,26.8,59.6,443.0,888.0,1.12,0.82,1.94,1.06,1.88,1.03,0.79,1.82,0.96,1.75,Eredivisie 2024-2025
vs Fortuna Sittard,30,24.9,55.6,34,374.0,3060,34.0,54.0,38.0,92.0,51.0,3.0,4.0,44.0,2.0,49.7,46.4,37.6,84.0,672.0,1474.0,1.59,1.12,2.71,1.5,2.62,1.46,1.11,2.57,1.36,2.47,Eredivisie 2024-2025
vs Go Ahead Eag,28,25.1,48.6,34,374.0,3060,34.0,54.0,44.0,98.0,50.0,4.0,4.0,58.0,3.0,45.6,42.8,34.1,76.9,665.0,1425.0,1.59,1.29,2.88,1.47,2.76,1.34,1.0,2.34,1.26,2.26,Eredivisie 2024-2025
vs Groningen,29,25.1,53.1,34,374.0,3060,34.0,51.0,39.0,90.0,46.0,5.0,6.0,52.0,2.0,47.2,42.4,33.1,75.6,521.0,1279.0,1.5,1.15,2.65,1.35,2.5,1.39,0.97,2.36,1.25,2.22,Eredivisie 2024-2025
vs Heerenveen,30,25.2,46.8,34,374.0,3060,34.0,55.0,41.0,96.0,51.0,4.0,4.0,45.0,3.0,48.5,45.4,37.5,82.8,472.0,1138.0,1.62,1.21,2.82,1.5,2.71,1.43,1.1,2.53,1.33,2.44,Eredivisie 2024-2025
vs Heracles Almelo,24,25.1,54.6,34,374.0,3060,34.0,59.0,41.0,100.0,53.0,6.0,6.0,40.0,2.0,59.7,55.1,46.6,101.8,560.0,1446.0,1.74,1.21,2.94,1.56,2.76,1.76,1.37,3.13,1.62,2.99,Eredivisie 2024-2025
vs NAC Breda,30,25.1,55.0,34,374.0,3060,34.0,57.0,42.0,99.0,50.0,7.0,7.0,47.0,2.0,57.2,52.0,42.8,94.8,741.0,1495.0,1.68,1.24,2.91,1.47,2.71,1.68,1.26,2.94,1.53,2.79,Eredivisie 2024-2025
vs NEC Nijmegen,25,25.2,51.4,34,374.0,3060,34.0,42.0,27.0,69.0,40.0,2.0,2.0,56.0,5.0,43.9,42.3,33.0,75.3,647.0,1457.0,1.24,0.79,2.03,1.18,1.97,1.29,0.97,2.26,1.25,2.22,Eredivisie 2024-2025
vs PSV Eindhoven,32,25.0,32.5,34,374.0,3060,34.0,39.0,24.0,63.0,37.0,2.0,2.0,47.0,4.0,32.6,31.1,22.1,53.2,392.0,771.0,1.15,0.71,1.85,1.09,1.79,0.96,0.65,1.61,0.91,1.56,Eredivisie 2024-2025
vs RKC Waalwijk,29,25.1,56.1,34,374.0,3060,34.0,72.0,53.0,125.0,64.0,8.0,8.0,38.0,2.0,69.3,63.3,52.7,116.1,762.0,1721.0,2.12,1.56,3.68,1.88,3.44,2.04,1.55,3.59,1.86,3.41,Eredivisie 2024-2025
vs Sparta R'dam,29,25.2,51.1,34,374.0,3060,34.0,41.0,23.0,64.0,37.0,4.0,5.0,49.0,4.0,45.1,41.3,31.9,73.3,636.0,1426.0,1.21,0.68,1.88,1.09,1.76,1.33,0.94,2.27,1.22,2.15,Eredivisie 2024-2025
vs Twente,29,25.1,46.7,34,374.0,3060,34.0,49.0,37.0,86.0,47.0,2.0,2.0,55.0,0.0,43.9,42.3,32.7,75.0,517.0,1071.0,1.44,1.09,2.53,1.38,2.47,1.29,0.96,2.25,1.24,2.21,Eredivisie 2024-2025
vs Utrecht,27,25.1,53.4,34,374.0,3060,34.0,44.0,28.0,72.0,40.0,4.0,4.0,66.0,4.0,43.7,40.5,30.3,70.9,533.0,1247.0,1.29,0.82,2.12,1.18,2.0,1.28,0.89,2.18,1.19,2.08,Eredivisie 2024-2025
vs Willem II,26,25.1,56.0,34,374.0,3060,34.0,53.0,38.0,91.0,47.0,6.0,6.0,42.0,0.0,57.1,52.5,42.4,95.0,675.0,1737.0,1.56,1.12,2.68,1.38,2.5,1.68,1.25,2.93,1.55,2.79,Eredivisie 2024-2025
vs Zwolle,26,25.1,49.8,34,374.0,3060,34.0,50.0,33.0,83.0,47.0,3.0,6.0,56.0,2.0,56.8,52.6,40.8,93.4,563.0,1348.0,1.47,0.97,2.44,1.38,2.35,1.67,1.2,2.87,1.55,2.75,Eredivisie 2024-2025
vs Arouca,28,26.0,47.7,34,374.0,3060,34.0,47.0,28.0,75.0,38.0,9.0,9.0,86.0,4.0,46.6,40.0,31.3,71.3,488.0,1192.0,1.38,0.82,2.21,1.12,1.94,1.37,0.92,2.29,1.18,2.1,Primeira Liga 2024-2025
vs AVS Futebol,33,25.8,56.0,34,374.0,3060,34.0,59.0,43.0,102.0,56.0,3.0,4.0,62.0,1.0,55.0,51.7,39.8,91.6,573.0,1440.0,1.74,1.26,3.0,1.65,2.91,1.62,1.17,2.79,1.52,2.69,Primeira Liga 2024-2025
vs Benfica,35,25.8,42.0,34,374.0,3060,34.0,28.0,21.0,49.0,26.0,2.0,4.0,83.0,5.0,29.2,26.0,19.9,45.9,441.0,812.0,0.82,0.62,1.44,0.76,1.38,0.86,0.59,1.45,0.77,1.35,Primeira Liga 2024-2025
vs Boavista,32,25.8,59.7,34,374.0,3060,34.0,56.0,38.0,94.0,50.0,6.0,6.0,89.0,4.0,56.2,51.4,40.3,91.8,522.0,1535.0,1.65,1.12,2.76,1.47,2.59,1.65,1.19,2.84,1.51,2.7,Primeira Liga 2024-2025
vs Braga,35,25.9,43.2,34,374.0,3060,34.0,29.0,20.0,49.0,26.0,3.0,3.0,88.0,4.0,34.2,31.8,25.7,57.5,435.0,957.0,0.85,0.59,1.44,0.76,1.35,1.0,0.76,1.76,0.94,1.69,Primeira Liga 2024-2025
vs Casa Pia,32,25.7,53.3,34,374.0,3060,34.0,43.0,27.0,70.0,36.0,7.0,8.0,82.0,3.0,45.1,38.8,25.7,64.5,527.0,1311.0,1.26,0.79,2.06,1.06,1.85,1.33,0.76,2.08,1.14,1.9,Primeira Liga 2024-2025
vs Estoril,28,25.9,51.1,34,374.0,3060,34.0,53.0,40.0,93.0,46.0,7.0,8.0,61.0,3.0,58.2,52.0,42.1,94.1,509.0,1082.0,1.56,1.18,2.74,1.35,2.53,1.71,1.24,2.95,1.53,2.77,Primeira Liga 2024-2025
vs Estrela,40,25.7,55.2,34,374.0,3060,34.0,48.0,32.0,80.0,43.0,5.0,7.0,70.0,1.0,45.7,40.7,31.1,71.7,449.0,1216.0,1.41,0.94,2.35,1.26,2.21,1.34,0.91,2.26,1.2,2.11,Primeira Liga 2024-2025
vs Famalicão,31,26.0,49.6,34,374.0,3060,34.0,38.0,29.0,67.0,34.0,4.0,5.0,112.0,4.0,43.0,39.0,31.3,70.3,415.0,1099.0,1.12,0.85,1.97,1.0,1.85,1.27,0.92,2.19,1.15,2.07,Primeira Liga 2024-2025
vs Farense,37,25.8,58.7,34,374.0,3060,34.0,44.0,27.0,71.0,38.0,6.0,8.0,85.0,5.0,51.4,45.1,31.8,76.9,610.0,1414.0,1.29,0.79,2.09,1.12,1.91,1.51,0.94,2.45,1.33,2.26,Primeira Liga 2024-2025
vs Gil Vicente FC,34,25.8,49.4,34,374.0,3060,34.0,46.0,23.0,69.0,40.0,6.0,7.0,80.0,5.0,42.1,36.6,25.0,61.7,458.0,1320.0,1.35,0.68,2.03,1.18,1.85,1.24,0.74,1.97,1.08,1.81,Primeira Liga 2024-2025
vs Moreirense,31,25.9,52.5,34,374.0,3060,34.0,50.0,28.0,78.0,45.0,5.0,5.0,92.0,2.0,39.5,35.6,26.0,61.5,435.0,1335.0,1.47,0.82,2.29,1.32,2.15,1.16,0.76,1.93,1.05,1.81,Primeira Liga 2024-2025
vs Nacional,31,25.9,52.5,34,374.0,3060,34.0,50.0,31.0,81.0,41.0,9.0,11.0,80.0,3.0,48.2,39.7,32.1,71.7,524.0,1298.0,1.47,0.91,2.38,1.21,2.12,1.42,0.94,2.36,1.17,2.11,Primeira Liga 2024-2025
vs Porto,32,26.1,38.3,34,374.0,3060,34.0,29.0,18.0,47.0,23.0,6.0,8.0,97.0,14.0,30.4,24.2,19.5,43.7,332.0,794.0,0.85,0.53,1.38,0.68,1.21,0.89,0.57,1.47,0.71,1.28,Primeira Liga 2024-2025
vs Rio Ave,36,25.7,52.3,34,374.0,3060,34.0,50.0,36.0,86.0,47.0,3.0,3.0,75.0,2.0,54.4,52.1,40.7,92.8,544.0,1359.0,1.47,1.06,2.53,1.38,2.44,1.6,1.2,2.8,1.53,2.73,Primeira Liga 2024-2025
vs Santa Clara,25,25.8,55.4,34,374.0,3060,34.0,32.0,21.0,53.0,28.0,4.0,6.0,96.0,6.0,32.9,28.0,20.0,48.0,426.0,1282.0,0.94,0.62,1.56,0.82,1.44,0.97,0.59,1.56,0.82,1.41,Primeira Liga 2024-2025
vs Sporting CP,34,26.1,39.9,34,374.0,3060,34.0,25.0,16.0,41.0,21.0,4.0,4.0,107.0,4.0,23.4,20.3,15.5,35.8,355.0,844.0,0.74,0.47,1.21,0.62,1.09,0.69,0.45,1.14,0.6,1.05,Primeira Liga 2024-2025
vs Vitória,31,26.0,43.4,34,374.0,3060,34.0,37.0,21.0,58.0,32.0,5.0,7.0,100.0,4.0,32.4,27.2,19.4,46.7,364.0,935.0,1.09,0.62,1.71,0.94,1.56,0.95,0.57,1.52,0.8,1.37,Primeira Liga 2024-2025
vs Blackburn,33,25.7,50.9,46,506.0,4140,46.0,48.0,34.0,82.0,45.0,3.0,4.0,84.0,3.0,53.8,50.5,39.4,89.8,742.0,1652.0,1.04,0.74,1.78,0.98,1.72,1.17,0.86,2.02,1.1,1.95,Championship 2024-2025
vs Bristol City,24,25.8,49.0,46,506.0,4140,46.0,55.0,34.0,89.0,53.0,2.0,2.0,88.0,3.0,56.4,54.9,42.1,97.0,686.0,1449.0,1.2,0.74,1.93,1.15,1.89,1.23,0.92,2.14,1.19,2.11,Championship 2024-2025
vs Burnley,38,25.6,43.4,46,506.0,4140,46.0,16.0,13.0,29.0,16.0,0.0,2.0,101.0,5.0,39.1,37.5,28.6,66.1,557.0,1200.0,0.35,0.28,0.63,0.35,0.63,0.85,0.62,1.47,0.81,1.44,Championship 2024-2025
vs Cardiff City,33,25.9,53.2,46,506.0,4140,46.0,69.0,52.0,121.0,66.0,3.0,4.0,84.0,1.0,64.5,61.4,49.5,110.9,712.0,1644.0,1.5,1.13,2.63,1.43,2.57,1.4,1.08,2.48,1.33,2.41,Championship 2024-2025
vs Coventry City,26,26.0,45.7,46,506.0,4140,46.0,55.0,40.0,95.0,54.0,1.0,1.0,94.0,7.0,52.6,51.8,41.9,93.8,632.0,1283.0,1.2,0.87,2.07,1.17,2.04,1.14,0.91,2.06,1.13,2.04,Championship 2024-2025
vs Derby County,33,25.7,56.2,46,506.0,4140,46.0,55.0,34.0,89.0,54.0,1.0,3.0,67.0,0.0,49.7,47.5,33.8,81.3,706.0,1586.0,1.2,0.74,1.93,1.17,1.91,1.08,0.73,1.81,1.03,1.77,Championship 2024-2025
vs Hull City,37,25.7,50.0,46,506.0,4140,46.0,52.0,36.0,88.0,48.0,4.0,6.0,85.0,0.0,53.0,48.4,38.5,87.0,800.0,1731.0,1.13,0.78,1.91,1.04,1.83,1.15,0.84,1.99,1.05,1.89,Championship 2024-2025
vs Leeds United,28,26.0,38.7,46,506.0,4140,46.0,26.0,14.0,40.0,23.0,3.0,4.0,85.0,3.0,29.6,26.5,19.9,46.4,479.0,1083.0,0.57,0.3,0.87,0.5,0.8,0.64,0.43,1.08,0.58,1.01,Championship 2024-2025
vs Luton Town,37,26.0,54.8,46,506.0,4140,46.0,68.0,54.0,122.0,66.0,2.0,3.0,101.0,3.0,56.2,53.8,41.8,95.6,699.0,1510.0,1.48,1.17,2.65,1.43,2.61,1.22,0.91,2.13,1.17,2.08,Championship 2024-2025
vs Middlesbrough,33,26.0,44.6,46,506.0,4140,46.0,53.0,39.0,92.0,53.0,0.0,0.0,99.0,2.0,55.5,55.5,40.7,96.2,612.0,1510.0,1.15,0.85,2.0,1.15,2.0,1.21,0.88,2.09,1.21,2.09,Championship 2024-2025
vs Millwall,34,25.8,57.0,46,506.0,4140,46.0,45.0,28.0,73.0,44.0,1.0,3.0,65.0,0.0,49.9,47.6,36.4,84.0,694.0,1650.0,0.98,0.61,1.59,0.96,1.57,1.09,0.79,1.88,1.03,1.83,Championship 2024-2025
vs Norwich City,35,25.8,42.2,46,506.0,4140,46.0,66.0,48.0,114.0,60.0,6.0,7.0,99.0,3.0,54.3,48.9,38.3,87.1,691.0,1467.0,1.43,1.04,2.48,1.3,2.35,1.18,0.83,2.01,1.06,1.89,Championship 2024-2025
vs Oxford United,34,25.8,56.4,46,506.0,4140,46.0,63.0,51.0,114.0,61.0,2.0,4.0,90.0,6.0,66.3,63.3,49.8,113.1,834.0,1880.0,1.37,1.11,2.48,1.33,2.43,1.44,1.08,2.52,1.38,2.46,Championship 2024-2025
vs Plymouth Argyle,34,25.9,57.6,46,506.0,4140,46.0,86.0,58.0,144.0,82.0,4.0,4.0,72.0,1.0,83.5,80.4,62.6,143.0,805.0,1816.0,1.87,1.26,3.13,1.78,3.04,1.82,1.36,3.18,1.75,3.11,Championship 2024-2025
vs Portsmouth,37,25.9,54.9,46,506.0,4140,46.0,66.0,51.0,117.0,62.0,4.0,4.0,81.0,5.0,68.8,65.7,54.8,120.5,743.0,1461.0,1.43,1.11,2.54,1.35,2.46,1.5,1.19,2.69,1.43,2.62,Championship 2024-2025
vs Preston,28,25.8,51.7,46,506.0,4140,46.0,58.0,41.0,99.0,52.0,6.0,7.0,71.0,2.0,57.9,52.7,40.4,93.1,711.0,1519.0,1.26,0.89,2.15,1.13,2.02,1.26,0.88,2.14,1.14,2.02,Championship 2024-2025
vs QPR,30,25.9,53.5,46,506.0,4140,46.0,60.0,41.0,101.0,57.0,3.0,3.0,80.0,5.0,54.2,51.8,38.5,90.4,704.0,1790.0,1.3,0.89,2.2,1.24,2.13,1.18,0.84,2.02,1.13,1.96,Championship 2024-2025
vs Sheffield Utd,33,26.0,48.6,46,506.0,4140,46.0,35.0,24.0,59.0,31.0,4.0,5.0,89.0,4.0,46.1,42.1,31.2,73.3,712.0,1510.0,0.76,0.52,1.28,0.67,1.2,1.0,0.68,1.68,0.92,1.59,Championship 2024-2025
vs Sheffield Weds,28,25.7,51.8,46,506.0,4140,46.0,69.0,45.0,114.0,65.0,4.0,6.0,87.0,2.0,62.6,58.0,39.1,97.0,581.0,1362.0,1.5,0.98,2.48,1.41,2.39,1.36,0.85,2.21,1.26,2.11,Championship 2024-2025
vs Stoke City,32,25.9,53.1,46,506.0,4140,46.0,57.0,38.0,95.0,54.0,3.0,5.0,80.0,3.0,72.8,68.7,53.9,122.6,783.0,1567.0,1.24,0.83,2.07,1.17,2.0,1.58,1.17,2.75,1.49,2.67,Championship 2024-2025
vs Sunderland,30,25.8,50.9,46,506.0,4140,46.0,39.0,22.0,61.0,35.0,4.0,5.0,107.0,3.0,49.0,45.3,34.6,79.9,629.0,1503.0,0.85,0.48,1.33,0.76,1.24,1.07,0.75,1.82,0.99,1.74,Championship 2024-2025
vs Swansea City,26,25.8,42.4,46,506.0,4140,46.0,53.0,31.0,84.0,49.0,4.0,4.0,97.0,2.0,57.6,54.4,39.2,93.6,598.0,1250.0,1.15,0.67,1.83,1.07,1.74,1.25,0.85,2.1,1.18,2.03,Championship 2024-2025
vs Watford,32,25.9,47.6,46,506.0,4140,46.0,60.0,49.0,109.0,60.0,0.0,1.0,109.0,0.0,66.3,65.5,51.1,116.6,686.0,1523.0,1.3,1.07,2.37,1.3,2.37,1.44,1.11,2.55,1.42,2.53,Championship 2024-2025
vs West Brom,30,25.7,45.9,46,506.0,4140,46.0,44.0,33.0,77.0,43.0,1.0,1.0,95.0,1.0,47.6,46.9,34.1,80.9,646.0,1468.0,0.96,0.72,1.67,0.93,1.65,1.03,0.74,1.77,1.02,1.76,Championship 2024-2025
vs Aberdeen,32,26.2,46.6,38,418.0,3420,38.0,59.0,43.0,102.0,57.0,2.0,5.0,81.0,3.0,,,,,,,1.55,1.13,2.68,1.5,2.63,,,,,,Scottish Premiership 2024-2025
vs Celtic,32,26.0,25.5,38,418.0,3420,38.0,25.0,16.0,41.0,23.0,2.0,2.0,84.0,2.0,,,,,,,0.66,0.42,1.08,0.61,1.03,,,,,,Scottish Premiership 2024-2025
vs Dundee,29,26.2,55.7,38,418.0,3420,38.0,76.0,51.0,127.0,69.0,7.0,7.0,64.0,3.0,,,,,,,2.0,1.34,3.34,1.82,3.16,,,,,,Scottish Premiership 2024-2025
vs Dundee United,27,26.4,56.2,38,418.0,3420,38.0,53.0,40.0,93.0,48.0,5.0,7.0,62.0,6.0,,,,,,,1.39,1.05,2.45,1.26,2.32,,,,,,Scottish Premiership 2024-2025
vs Hearts,33,26.4,45.8,38,418.0,3420,38.0,42.0,22.0,64.0,36.0,6.0,6.0,79.0,1.0,,,,,,,1.11,0.58,1.68,0.95,1.53,,,,,,Scottish Premiership 2024-2025
vs Hibernian,28,26.2,55.1,38,418.0,3420,38.0,47.0,30.0,77.0,43.0,4.0,5.0,80.0,4.0,,,,,,,1.24,0.79,2.03,1.13,1.92,,,,,,Scottish Premiership 2024-2025
vs Kilmarnock,26,26.2,56.2,38,418.0,3420,38.0,63.0,48.0,111.0,59.0,4.0,4.0,70.0,4.0,,,,,,,1.66,1.26,2.92,1.55,2.82,,,,,,Scottish Premiership 2024-2025
vs Motherwell,34,26.5,57.5,38,418.0,3420,38.0,63.0,40.0,103.0,59.0,4.0,5.0,81.0,7.0,,,,,,,1.66,1.05,2.71,1.55,2.61,,,,,,Scottish Premiership 2024-2025
vs Rangers,34,26.3,37.1,38,418.0,3420,38.0,40.0,28.0,68.0,38.0,2.0,4.0,76.0,0.0,,,,,,,1.05,0.74,1.79,1.0,1.74,,,,,,Scottish Premiership 2024-2025
vs Ross County,31,26.3,59.6,38,418.0,3420,38.0,65.0,46.0,111.0,62.0,3.0,5.0,49.0,2.0,,,,,,,1.71,1.21,2.92,1.63,2.84,,,,,,Scottish Premiership 2024-2025
vs St Johnstone,35,26.2,46.6,38,418.0,3420,38.0,63.0,50.0,113.0,58.0,5.0,5.0,72.0,7.0,,,,,,,1.66,1.32,2.97,1.53,2.84,,,,,,Scottish Premiership 2024-2025
vs St Mirren,31,26.5,57.6,38,418.0,3420,38.0,58.0,38.0,96.0,52.0,6.0,9.0,67.0,3.0,,,,,,,1.53,1.0,2.53,1.37,2.37,,,,,,Scottish Premiership 2024-2025
vs Augsburg,29,26.6,56.1,34,374.0,3060,34.0,58.0,40.0,98.0,51.0,7.0,10.0,63.0,1.0,57.4,49.7,39.0,88.6,665.0,1420.0,1.71,1.18,2.88,1.5,2.68,1.69,1.15,2.84,1.46,2.61,Bundesliga 2023-2024
vs Bayern Munich,30,26.5,38.7,34,374.0,3060,34.0,45.0,35.0,80.0,42.0,3.0,4.0,62.0,3.0,32.1,29.0,22.3,51.3,504.0,1001.0,1.32,1.03,2.35,1.24,2.26,0.95,0.65,1.6,0.85,1.51,Bundesliga 2023-2024
vs Bochum,25,26.5,53.4,34,374.0,3060,34.0,70.0,55.0,125.0,61.0,9.0,11.0,75.0,2.0,63.9,55.4,46.9,102.3,597.0,1264.0,2.06,1.62,3.68,1.79,3.41,1.88,1.38,3.26,1.63,3.01,Bundesliga 2023-2024
vs Darmstadt 98,32,26.7,54.3,34,374.0,3060,34.0,84.0,68.0,152.0,83.0,1.0,2.0,59.0,4.0,73.1,71.6,58.3,129.8,647.0,1458.0,2.47,2.0,4.47,2.44,4.44,2.15,1.71,3.86,2.1,3.82,Bundesliga 2023-2024
vs Dortmund,32,26.6,42.2,34,374.0,3060,34.0,41.0,28.0,69.0,36.0,5.0,6.0,70.0,1.0,52.0,47.8,35.0,82.8,608.0,1283.0,1.21,0.82,2.03,1.06,1.88,1.53,1.03,2.56,1.41,2.44,Bundesliga 2023-2024
vs Eint Frankfurt,34,26.7,47.9,34,374.0,3060,34.0,50.0,34.0,84.0,41.0,9.0,11.0,56.0,4.0,52.1,43.3,33.5,76.8,499.0,1283.0,1.47,1.0,2.47,1.21,2.21,1.53,0.99,2.52,1.27,2.26,Bundesliga 2023-2024
vs Freiburg,25,26.6,53.4,34,374.0,3060,34.0,57.0,45.0,102.0,54.0,3.0,5.0,69.0,1.0,50.5,46.5,38.1,84.6,623.0,1334.0,1.68,1.32,3.0,1.59,2.91,1.48,1.12,2.61,1.37,2.49,Bundesliga 2023-2024
vs Gladbach,27,26.7,53.2,34,374.0,3060,34.0,67.0,52.0,119.0,61.0,6.0,6.0,64.0,3.0,54.2,49.5,39.1,88.6,671.0,1599.0,1.97,1.53,3.5,1.79,3.32,1.6,1.15,2.75,1.46,2.61,Bundesliga 2023-2024
vs Heidenheim,22,26.6,57.5,34,374.0,3060,34.0,52.0,36.0,88.0,45.0,7.0,10.0,73.0,0.0,61.8,54.1,42.7,96.8,702.0,1587.0,1.53,1.06,2.59,1.32,2.38,1.82,1.26,3.07,1.59,2.85,Bundesliga 2023-2024
vs Hoffenheim,30,26.4,50.5,34,374.0,3060,34.0,65.0,51.0,116.0,63.0,2.0,5.0,70.0,5.0,60.8,56.9,44.7,101.6,683.0,1514.0,1.91,1.5,3.41,1.85,3.35,1.79,1.32,3.1,1.67,2.99,Bundesliga 2023-2024
vs Köln,26,26.6,53.5,34,374.0,3060,34.0,60.0,39.0,99.0,57.0,3.0,3.0,75.0,4.0,64.6,62.2,44.8,107.0,502.0,1442.0,1.76,1.15,2.91,1.68,2.82,1.9,1.32,3.22,1.83,3.15,Bundesliga 2023-2024
vs Leverkusen,24,26.5,38.2,34,374.0,3060,34.0,24.0,18.0,42.0,24.0,0.0,0.0,67.0,5.0,29.9,29.9,22.1,51.9,398.0,940.0,0.71,0.53,1.24,0.71,1.24,0.88,0.65,1.53,0.88,1.53,Bundesliga 2023-2024
vs Mainz 05,30,26.5,53.9,34,374.0,3060,34.0,50.0,40.0,90.0,47.0,3.0,4.0,78.0,3.0,44.5,41.4,34.2,75.6,522.0,1205.0,1.47,1.18,2.65,1.38,2.56,1.31,1.01,2.31,1.22,2.22,Bundesliga 2023-2024
vs RB Leipzig,26,26.7,44.7,34,374.0,3060,34.0,38.0,29.0,67.0,34.0,4.0,5.0,90.0,5.0,40.1,36.4,30.1,66.5,495.0,1128.0,1.12,0.85,1.97,1.0,1.85,1.18,0.89,2.07,1.07,1.96,Bundesliga 2023-2024
vs Stuttgart,27,26.6,40.1,34,374.0,3060,34.0,36.0,24.0,60.0,33.0,3.0,3.0,75.0,3.0,38.1,35.8,26.7,62.5,466.0,1013.0,1.06,0.71,1.76,0.97,1.68,1.12,0.78,1.91,1.05,1.84,Bundesliga 2023-2024
vs Union Berlin,30,26.5,57.1,34,374.0,3060,34.0,57.0,37.0,94.0,52.0,5.0,7.0,60.0,1.0,50.5,45.2,33.6,78.7,664.0,1565.0,1.68,1.09,2.76,1.53,2.62,1.49,0.99,2.47,1.33,2.32,Bundesliga 2023-2024
vs Werder Bremen,30,26.7,53.2,34,374.0,3060,34.0,53.0,39.0,92.0,47.0,6.0,6.0,84.0,6.0,56.5,51.9,41.0,92.9,638.0,1428.0,1.56,1.15,2.71,1.38,2.53,1.66,1.21,2.87,1.53,2.73,Bundesliga 2023-2024
vs Wolfsburg,28,26.4,52.0,34,374.0,3060,34.0,53.0,43.0,96.0,51.0,2.0,3.0,79.0,4.0,44.7,42.4,34.3,76.6,532.0,1346.0,1.56,1.26,2.82,1.5,2.76,1.32,1.01,2.32,1.25,2.25,Bundesliga 2023-2024
vs Arsenal,25,26.3,41.8,38,418.0,3420,38.0,28.0,20.0,48.0,26.0,2.0,3.0,82.0,2.0,27.9,25.7,19.9,45.6,534.0,938.0,0.74,0.53,1.26,0.68,1.21,0.73,0.52,1.26,0.68,1.2,Premier League 2023-2024
vs Aston Villa,31,26.2,46.9,38,418.0,3420,38.0,57.0,45.0,102.0,56.0,1.0,2.0,94.0,4.0,59.9,58.2,48.9,107.2,640.0,1255.0,1.5,1.18,2.68,1.47,2.66,1.58,1.29,2.87,1.53,2.82,Premier League 2023-2024
vs Bournemouth,30,26.2,55.6,38,418.0,3420,38.0,66.0,44.0,110.0,60.0,6.0,7.0,82.0,2.0,58.1,52.5,39.9,92.4,720.0,1500.0,1.74,1.16,2.89,1.58,2.74,1.53,1.05,2.58,1.38,2.43,Premier League 2023-2024
vs Brentford,28,26.1,54.8,38,418.0,3420,38.0,65.0,50.0,115.0,63.0,2.0,2.0,75.0,4.0,56.0,54.4,43.6,98.0,847.0,1585.0,1.71,1.32,3.03,1.66,2.97,1.47,1.15,2.62,1.43,2.58,Premier League 2023-2024
vs Brighton,30,26.3,40.2,38,418.0,3420,38.0,60.0,42.0,102.0,54.0,6.0,6.0,99.0,5.0,55.4,50.7,39.3,90.0,651.0,1175.0,1.58,1.11,2.68,1.42,2.53,1.46,1.03,2.49,1.33,2.37,Premier League 2023-2024
vs Burnley,31,26.3,52.6,38,418.0,3420,38.0,75.0,54.0,129.0,69.0,6.0,7.0,84.0,3.0,70.4,64.9,52.0,116.9,711.0,1501.0,1.97,1.42,3.39,1.82,3.24,1.85,1.37,3.22,1.71,3.08,Premier League 2023-2024
vs Chelsea,32,26.3,41.4,38,418.0,3420,38.0,60.0,43.0,103.0,57.0,3.0,5.0,100.0,4.0,58.1,54.1,42.0,96.1,727.0,1368.0,1.58,1.13,2.71,1.5,2.63,1.53,1.1,2.63,1.42,2.53,Premier League 2023-2024
vs Crystal Palace,26,26.3,57.7,38,418.0,3420,38.0,56.0,46.0,102.0,53.0,3.0,3.0,78.0,2.0,52.0,49.6,40.3,89.9,679.0,1713.0,1.47,1.21,2.68,1.39,2.61,1.37,1.06,2.43,1.31,2.37,Premier League 2023-2024
vs Everton,26,26.3,59.2,38,418.0,3420,38.0,48.0,30.0,78.0,40.0,8.0,8.0,61.0,2.0,55.2,49.1,37.3,86.5,790.0,1642.0,1.26,0.79,2.05,1.05,1.84,1.45,0.98,2.43,1.29,2.28,Premier League 2023-2024
vs Fulham,25,26.1,49.4,38,418.0,3420,38.0,57.0,36.0,93.0,49.0,8.0,8.0,65.0,0.0,62.9,56.9,43.7,100.7,684.0,1533.0,1.5,0.95,2.45,1.29,2.24,1.66,1.15,2.81,1.5,2.65,Premier League 2023-2024
vs Liverpool,30,26.2,38.7,38,418.0,3420,38.0,39.0,27.0,66.0,38.0,1.0,1.0,98.0,4.0,45.7,45.0,33.9,78.9,559.0,1154.0,1.03,0.71,1.74,1.0,1.71,1.2,0.89,2.1,1.18,2.08,Premier League 2023-2024
vs Luton Town,28,26.5,57.6,38,418.0,3420,38.0,81.0,57.0,138.0,77.0,4.0,4.0,73.0,2.0,78.0,74.9,56.8,131.7,723.0,1495.0,2.13,1.5,3.63,2.03,3.53,2.05,1.49,3.55,1.97,3.47,Premier League 2023-2024
